regulation_id,crop_slug,crop,condition
211,lesnye-nasazhdeniya,лесные насаждения,
211,hvoynye,"хвойные (туя, ель, можжевельник)",
212,kartofel,картофель,
213,kapusta,капуста,
214,ayva,айва,
214,grusha,груша,
214,yablonya,яблоня,
215,ogurets,огурец,защищённый грунт
216,roza,роза,защищённый грунт
217,roza,роза,открытый грунт
218,tsvety,цветы (общее),открытый грунт
219,vinograd,виноград,
220,kukuruza,кукуруза,
220,podsolnechnik,подсолнечник,
220,saharnaya-svekla,сахарная свекла,
221,lesnye-nasazhdeniya,лесные насаждения,
222,lesnye-nasazhdeniya,лесные насаждения,
223,lesnye-nasazhdeniya,лесные насаждения,
224,hvoynye,"хвойные (туя, ель, можжевельник)",
225,hvoynye,"хвойные (туя, ель, можжевельник)",
226,hvoynye,"хвойные (туя, ель, можжевельник)",
227,lesnye-nasazhdeniya,лесные насаждения,
228,lesnye-nasazhdeniya,лесные насаждения,
229,lesnye-nasazhdeniya,лесные насаждения,
230,kartofel,картофель,
231,tomat,томат,открытый грунт
232,ogurets,огурец,защищённый грунт
233,kartofel,картофель,
234,tomat,томат,открытый грунт
235,soya,соя,
236,tomat,томат,защищённый грунт
237,kukuruza,кукуруза,
238,kormovye-travy,кормовые травы,
238,podsolnechnik,подсолнечник,
238,saharnaya-svekla,сахарная свекла,
239,kapusta,капуста,
240,yablonya,яблоня,
241,ayva,айва,
241,vishnya-chereshnya,вишня / черешня,
241,grusha,груша,
241,yablonya,яблоня,
242,kryzhovnik,крыжовник,
242,malina,малина,
242,ryabina,рябина,
242,smorodina,смородина,
243,lesnye-nasazhdeniya,лесные насаждения,
244,lesnye-nasazhdeniya,лесные насаждения,
245,lesnye-nasazhdeniya,лесные насаждения,
246,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
247,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
248,oreh,"орех (грецкий, фундук)",
249,oreh,"орех (грецкий, фундук)",
250,lesnye-nasazhdeniya,лесные насаждения,
250,hvoynye,"хвойные (туя, ель, можжевельник)",
251,lesnye-nasazhdeniya,лесные насаждения,
251,hvoynye,"хвойные (туя, ель, можжевельник)",
252,lesnye-nasazhdeniya,лесные насаждения,
252,hvoynye,"хвойные (туя, ель, можжевельник)",
253,lesnye-nasazhdeniya,лесные насаждения,
253,hvoynye,"хвойные (туя, ель, можжевельник)",
254,lesnye-nasazhdeniya,лесные насаждения,
254,hvoynye,"хвойные (туя, ель, можжевельник)",
255,lesnye-nasazhdeniya,лесные насаждения,
255,hvoynye,"хвойные (туя, ель, можжевельник)",
256,lesnye-nasazhdeniya,лесные насаждения,
256,hvoynye,"хвойные (туя, ель, можжевельник)",
257,lesnye-nasazhdeniya,лесные насаждения,
257,hvoynye,"хвойные (туя, ель, можжевельник)",
258,lesnye-nasazhdeniya,лесные насаждения,
258,hvoynye,"хвойные (туя, ель, можжевельник)",
259,kapusta,капуста,
260,yablonya,яблоня,
261,plodovye-derevya,плодовые деревья (общее),
262,kryzhovnik,крыжовник,
262,malina,малина,
262,ryabina,рябина,
262,smorodina,смородина,
263,tomat,томат,защищённый грунт
264,kartofel,картофель,
265,soya,соя,
266,soya,соя,
267,tomat,томат,открытый и защищённый грунт
268,tomat,томат,открытый и защищённый грунт
269,kapusta,капуста,
270,podsolnechnik,подсолнечник,
271,podsolnechnik,подсолнечник,
272,raps,рапс,
273,raps,рапс,
274,yablonya,яблоня,
275,ayva,айва,
275,vishnya-chereshnya,вишня / черешня,
275,grusha,груша,
275,yablonya,яблоня,
276,kryzhovnik,крыжовник,
276,smorodina,смородина,
277,vinograd,виноград,
278,lesnye-nasazhdeniya,лесные насаждения,
279,lesnye-nasazhdeniya,лесные насаждения,
280,lesnye-nasazhdeniya,лесные насаждения,
280,hvoynye,"хвойные (туя, ель, можжевельник)",
281,lesnye-nasazhdeniya,лесные насаждения,
281,hvoynye,"хвойные (туя, ель, можжевельник)",
282,limon-tsitrusy,комнатные: лимон / цитрусы,
282,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
283,kapusta,капуста,
284,yablonya,яблоня,
285,kryzhovnik,крыжовник,
285,smorodina,смородина,
286,tomat,томат,открытый грунт
287,tomat,томат,защищённый грунт
288,vinograd,виноград,
289,podsolnechnik,подсолнечник,
290,podsolnechnik,подсолнечник,
291,kapusta,капуста,
292,kapusta,капуста,
293,raps,рапс,
294,raps,рапс,
295,ogurets,огурец,защищённый грунт
295,tomat,томат,защищённый грунт
296,yablonya,яблоня,
297,tsvety,цветы (общее),защищённый грунт
298,kapusta,капуста,
299,ogurets,огурец,защищённый грунт
299,tomat,томат,защищённый грунт
300,yablonya,яблоня,
301,tsvety,цветы (общее),защищённый грунт
302,pastbischa-i-luga,пастбища и луга,
303,pastbischa-i-luga,пастбища и луга,
304,pastbischa-i-luga,пастбища и луга,
305,raps,рапс,
306,pshenitsa,пшеница,
307,podsolnechnik,подсолнечник,
308,goroh-fasol,горох / фасоль,
309,yablonya,яблоня,
310,vinograd,виноград,
311,podsolnechnik,подсолнечник,
312,goroh-fasol,горох / фасоль,
313,yablonya,яблоня,
314,vinograd,виноград,
315,raps,рапс,
316,kukuruza,кукуруза,
317,kukuruza,кукуруза,
318,podsolnechnik,подсолнечник,
319,podsolnechnik,подсолнечник,
320,soya,соя,
321,zernobobovye,"зернобобовые (нут, чечевица, люпин, бобы)",
322,goroh-fasol,горох / фасоль,
323,saharnaya-svekla,сахарная свекла,
324,yablonya,яблоня,
325,vinograd,виноград,
326,luk,лук,
327,kartofel,картофель,
328,tomat,томат,защищённый грунт
329,ogurets,огурец,защищённый грунт
330,kukuruza,кукуруза,
331,podsolnechnik,подсолнечник,
332,saharnaya-svekla,сахарная свекла,
333,soya,соя,
334,raps,рапс,
335,arbuz-dynya,арбуз / дыня,открытый грунт
335,ogurets,огурец,открытый грунт
336,perets,перец,открытый грунт
336,tomat,томат,открытый грунт
337,kapusta,капуста,
338,kartofel,картофель,
339,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
340,yablonya,яблоня,
341,vinograd,виноград,
342,ogurets,огурец,защищённый грунт
343,tsvety,цветы (общее),защищённый грунт
344,ogurets,огурец,защищённый грунт
345,tsvety,цветы (общее),защищённый грунт
346,kartofel,картофель,
347,tomat,томат,защищённый грунт
348,ogurets,огурец,защищённый грунт
349,ogurets,огурец,открытый грунт
350,klubnika,клубника (земляника),
351,kartofel,картофель,
352,tomat,томат,открытый грунт
353,pastbischa-i-luga,пастбища и луга,
354,kartofel,картофель,
355,kartofel,картофель,
356,soya,соя,
357,kartofel,картофель,
358,ogurets,огурец,защищённый грунт
359,kartofel,картофель,
360,ogurets,огурец,защищённый грунт
361,vinograd,виноград,
362,vinograd,виноград,
363,vinograd,виноград,
364,vinograd,виноград,
365,yablonya,яблоня,
366,yablonya,яблоня,
367,yablonya,яблоня,
368,yablonya,яблоня,
369,vinograd,виноград,
370,ogurets,огурец,защищённый грунт
371,baklazhan,баклажан,защищённый грунт
371,perets,перец,защищённый грунт
371,tomat,томат,защищённый грунт
372,tsvety,цветы (общее),защищённый грунт
373,tsvety,цветы (общее),защищённый грунт
374,komnatnye-rasteniya,комнатные растения (общее),защищённый грунт
375,soya,соя,
376,kapusta,капуста,
377,ogurets,огурец,защищённый грунт
377,tomat,томат,защищённый грунт
378,ogurets,огурец,защищённый грунт
378,tomat,томат,защищённый грунт
379,ogurets,огурец,защищённый грунт
379,tomat,томат,защищённый грунт
380,yablonya,яблоня,
381,smorodina,смородина,
382,smorodina,смородина,
383,tomat,томат,защищённый грунт
384,klubnika,клубника (земляника),
384,malina,малина,
385,luk,лук,
386,roza,роза,открытый грунт
387,komnatnye-rasteniya,комнатные растения (общее),
387,tsvety,цветы (общее),
388,ogurets,огурец,защищённый грунт
389,roza,роза,защищённый грунт
390,yablonya,яблоня,
391,yablonya,яблоня,
392,vinograd,виноград,
393,soya,соя,
394,yablonya,яблоня,
395,yablonya,яблоня,
396,vinograd,виноград,
397,yablonya,яблоня,
398,yablonya,яблоня,
399,vinograd,виноград,
400,soya,соя,
401,saharnaya-svekla,сахарная свекла,
402,soya,соя,
